section_ID,area_pre,area_post2,area_change,scan_page_pre,scan_page_post2,threshold_post,notes_pre,notes_post2
28.3.8,3.928,3.355,-0.573,AV_Ambient_3of3_pre,AV_choice_post_scan3,142,,grazing
28.3.9,3.93,3.891,-0.039,AV_Reduced_2of3_pre,AV_choice_post_scan5,155,,
4.6.1,3.747,3.839,0.092,AV_Ambient_2of3_pre,AV_choice_post_scan2,173,,shadows
4.6.10,3.836,3.874,0.038,Control_Ambient_2of3_pre,AV_choice_post_scan9,0,,shadows; used polygon tool
4.6.2,3.947,3.951,0.004,AV_Ambient_3of3_pre,AV_choice_post_scan4,155,,
4.6.3,3.912,4.019,0.107,Control_Reduced_1of3_pre,AV_choice_post_scan11,155,,
4.6.4,3.895,3.93,0.035,AV_Reduced_1of3_pre,AV_choice_post_scan3,155,,
4.6.5,3.889,3.924,0.035,Control_Ambient_1of3_pre,AV_choice_post_scan9,142,,shadows
4.6.6,3.906,3.982,0.076,Control_Reduced_2of3_pre,AV_choice_post_scan12,155,,
4.6.7,3.896,4.007,0.111,Control_Reduced_2of3_pre,AV_choice_post_scan8,155,,
4.6.8,3.861,3.399,-0.462,AV_Ambient_1of3_pre,AV_choice_post_scan6,155,,
4.6.9,3.795,3.802,0.007,AV_Reduced_3of3_pre,AV_choice_post_scan6,155,,
4.7.1,3.955,3.955,0,Control_Ambient_1of3_pre,AV_choice_post_scan10,155,,
4.7.10,3.705,3.685,-0.02,AV_Ambient_3of3_pre,AV_choice_post_scan4,155,,
4.7.2,3.638,3.675,0.037,Control_Reduced_3of3_pre,AV_choice_post_scan7,155,,
4.7.3,3.792,3.732,-0.06,AV_Reduced_2of3_pre,AV_choice_post_scan2,171,,grazing
4.7.4,3.758,3.442,-0.316,AV_Ambient_2of3_pre,AV_choice_post_scan5,155,,
4.7.5,3.804,3.765,-0.039,Control_Ambient_3of3_pre,AV_choice_post_scan1,155,,
4.7.6,3.708,3.68,-0.028,AV_Reduced_3of3_pre,AV_choice_post_scan4,155,,
4.7.7,3.822,3.855,0.033,Control_Ambient_2of3_pre,AV_choice_post_scan10,155,,
4.7.8,3.677,3.738,0.061,Control_Reduced_3of3_pre,AV_choice_post_scan8,155,,
4.7.9,3.798,3.792,-0.006,AV_Ambient_1of3_pre,AV_choice_post_scan6,155,,
7.11.1,3.566,3.621,0.055,Control_Ambient_1of3_pre,AV_choice_post_scan10,155,,
7.11.10,3.718,3.746,0.028,AV_Ambient_3of3_pre,AV_choice_post_scan4,148,,shadows
7.11.2,3.618,3.588,-0.03,AV_Ambient_2of3_pre,AV_choice_post_scan2,155,,
7.11.3,3.688,3.729,0.041,Control_Reduced_1of3_pre,AV_choice_post_scan11,162,,dust; used polygon tool
7.11.4,3.84,3.86,0.02,Control_Ambient_1of3_pre,AV_choice_post_scan10,0,,dust; used polygon tool
7.11.5,3.728,3.811,0.083,Control_Reduced_1of3_pre,AV_choice_post_scan11,0,,watermarks; used polygon tool
7.11.6,3.847,3.357,-0.49,AV_Ambient_1of3_pre,AV_choice_post_scan5,155,,
7.11.7,3.897,3.961,0.064,Control_Ambient_3of3_pre,AV_choice_post_scan8,155,,
7.11.8,3.679,3.686,0.007,AV_Ambient_3of3_pre,AV_choice_post_scan3,155,,
7.11.9,3.605,3.66,0.055,Control_Reduced_2of3_pre,AV_choice_post_scan7,155,,
7.8.1,3.616,3.626,0.01,AV_Reduced_1of3_pre,AV_choice_post_scan3,162,,grazing
7.8.10,4.132,4.118,-0.014,AV_Ambient_1of3_pre,AV_choice_post_scan1,155,,
7.8.2,3.867,3.917,0.05,Control_Reduced_1of3_pre,AV_choice_post_scan10,155,,
7.8.3,3.833,3.852,0.019,Control_Reduced_3of3_pre,AV_choice_post_scan12,125,,shadows
7.8.4,3.947,3.953,0.006,AV_Reduced_1of3_pre,AV_choice_post_scan3,143,,shadows
7.8.5,4.004,4.037,0.033,Control_Ambient_1of3_pre,AV_choice_post_scan9,155,,
7.8.6,3.774,3.823,0.049,Control_Reduced_2of3_pre,AV_choice_post_scan12,155,,
7.8.7,3.755,3.776,0.021,Control_Reduced_2of3_pre,AV_choice_post_scan8,155,,
7.8.8,3.967,4.023,0.056,Control_Reduced_3of3_pre,AV_choice_post_scan8,0,,shadows; used polygon tool
7.8.9,3.941,3.625,-0.316,AV_Reduced_2of3_pre,AV_choice_post_scan5,136,,shadows
